,GeoUID,Shape.Area,name,Adjusted.Population..previous.Census.,PR_UID,Type,Region.Name,Area..sq.km.,Population,Dwellings,Households,LowIncome,LowIncPercent,Aboriginal,AborigPercent,VisMinority,VisMinorityPercent
94,2448,582.67547,Acton (MRC),15381,24,CD,Acton (MRC),582.67547,15594,7101,6637,16.6,0.001079254,255,0.016578896,80,0.005201222
95,2449,1626.05654,Drummond (MRC),98681,24,CD,Drummond (MRC),1626.05654,103397,47581,45334,16,0.000162139,1145,0.011603044,2385,0.024168786
96,2450,1021.45956,Nicolet-Yamaska (MRC),22798,24,CD,Nicolet-Yamaska (MRC),1021.45956,23159,11045,10085,16.1,0.000706202,670,0.029388543,245,0.010746557
97,2451,2493.19985,Maskinongé (MRC),36286,24,CD,Maskinongé (MRC),2493.19985,36316,19075,16452,17.4,0.000479524,565,0.015570744,190,0.005236179
98,2452,1283.40303,D'Autray (MRC),41650,24,CD,D'Autray (MRC),1283.40303,42189,20768,18223,16.3,0.000391357,565,0.013565426,550,0.013205282
99,2453,608.5711,Pierre-De Saurel (MRC),50900,24,CD,Pierre-De Saurel (MRC),608.5711,51025,25425,23793,16.5,0.000324165,585,0.011493124,845,0.016601179
100,2454,1311.69424,Les Maskoutains (MRC),84248,24,CD,Les Maskoutains (MRC),1311.69424,87099,40244,38016,14.1,0.000167363,780,0.00925838,3480,0.041306619
101,2455,488.26993,Rouville (MRC),35690,24,CD,Rouville (MRC),488.26993,36536,15470,14939,10.1,0.000282992,390,0.010927431,560,0.01569067
102,2456,943.59986,Le Haut-Richelieu (MRC),114344,24,CD,Le Haut-Richelieu (MRC),943.59986,117443,52461,50061,12.2,0.000106696,1460,0.012768488,2450,0.021426572
103,2457,604.05732,La Vallée-du-Richelieu (MRC),116773,24,CD,La Vallée-du-Richelieu (MRC),604.05732,124420,49971,48748,6.3,5.39508E-05,1205,0.010319166,3960,0.033911949
104,2458,283.20858,Longueuil (Tï¿½),399097,24,CD,Longueuil (Tï¿½),283.20858,415347,183008,175735,12.2,3.0569E-05,3270,0.008193497,85175,0.213419294
105,2459,346.6117,Marguerite-D'Youville (MRC),74416,24,CD,Marguerite-D'Youville (MRC),346.6117,77550,30532,29942,6,8.06278E-05,540,0.007256504,2505,0.033662116
106,2460,259.27257,L'Assomption (MRC),119840,24,CD,L'Assomption (MRC),259.27257,124759,50828,49768,8.3,6.9259E-05,1295,0.010806075,11130,0.092873832
107,2461,423.54916,Joliette (MRC),63551,24,CD,Joliette (MRC),423.54916,66550,30969,29703,16.6,0.000261208,1025,0.016128778,1495,0.023524413
108,2462,10459.76578,Matawinie (MRC),49516,24,CD,Matawinie (MRC),10459.76578,50435,35858,23139,19.5,0.000393812,2735,0.055234672,485,0.009794814
109,2463,717.74053,Montcalm (MRC),48378,24,CD,Montcalm (MRC),717.74053,52596,23295,21608,15.3,0.000316259,800,0.016536442,735,0.015192856
110,2464,262.03111,Les Moulins (MRC),148813,24,CD,Les Moulins (MRC),262.03111,158267,60944,59701,7.7,5.17428E-05,1755,0.011793325,15500,0.104157567
111,2465,247.08643,Laval (Tï¿½),401553,24,CD,Laval (Tï¿½),247.08643,422993,165686,160328,11.3,2.81407E-05,2525,0.006288087,107255,0.267100482
112,2466,499.897,Montréal (Tï¿½),1886481,24,CD,Montréal (Tï¿½),499.897,1942044,939112,870373,21.3,1.12909E-05,13105,0.006946797,623895,0.330718942
113,2467,426.33339,Roussillon (MRC),162187,24,CD,Roussillon (MRC),426.33339,171443,67868,66264,7.8,4.80926E-05,2640,0.016277507,18290,0.112771061
114,2468,804.55347,Les Jardins-de-Napierville (MRC),26234,24,CD,Les Jardins-de-Napierville (MRC),804.55347,27870,11789,11205,11.2,0.000426927,420,0.016009758,545,0.020774567
115,2469,1179.06874,Le Haut-Saint-Laurent (MRC),21197,24,CD,Le Haut-Saint-Laurent (MRC),1179.06874,22454,12016,9666,18.3,0.00086333,1470,0.069349436,265,0.012501769
116,2470,474.23361,Beauharnois-Salaberry (MRC),61950,24,CD,Beauharnois-Salaberry (MRC),474.23361,64320,30151,28865,15.7,0.00025343,790,0.01275222,930,0.015012107
117,2471,861.64785,Vaudreuil-Soulanges (MRC),139353,24,CD,Vaudreuil-Soulanges (MRC),861.64785,149349,59474,57515,7.7,5.52554E-05,1745,0.012522156,15455,0.110905399
118,2472,244.97777,Deux-Montagnes (MRC),95670,24,CD,Deux-Montagnes (MRC),244.97777,98203,40728,39748,9.5,9.92997E-05,1560,0.016306052,5895,0.061618062
119,2473,207.61981,Thérèse-De Blainville (MRC),154144,24,CD,Thérèse-De Blainville (MRC),207.61981,157103,62218,60762,8.5,5.51432E-05,1575,0.010217718,9340,0.060592693
120,2474,486.17064,Mirabel (Tï¿½),41957,24,CD,Mirabel (Tï¿½),486.17064,50513,20395,19631,8.3,0.000197822,575,0.013704507,1450,0.034559192
